Date;Open;High;Low;Close;Volume
16/01/1989;1.9958001375198364;2.0179143413801546;1.984743117539664;1.9958001375198364;663163
17/01/1989;1.9958001375198364;1.9958001375198364;1.9958001375198364;1.9958001375198364;0
18/01/1989;1.9958001375198364;1.9958001375198364;1.9958001375198364;1.9958001375198364;0
19/01/1989;1.9442001581192017;1.9681570852569878;1.9368287580998957;1.9442001581192017;1641505
20/01/1989;1.9349853992462156;1.966313718828211;1.9349853992462156;1.9349853992462158;1129887
23/01/1989;1.9091855287551878;1.944199628330669;1.9091855287551878;1.909185528755188;1113977
24/01/1989;1.9091855287551878;1.9091855287551878;1.9091855287551878;1.909185528755188;0
25/01/1989;1.9091855287551878;1.9091855287551878;1.9091855287551878;1.909185528755188;0
26/01/1989;1.9091855287551878;1.9091855287551878;1.9091855287551878;1.909185528755188;0
27/01/1989;1.9810569286346438;1.9957997281844644;1.9571000022911398;1.9810569286346436;1457281
30/01/1989;1.9626278877258303;1.9939562038929204;1.9589422709590674;1.96262788772583;1449429
31/01/1989;1.9313000440597536;1.9626283678914553;1.9276144263912882;1.9313000440597534;1826810
01/02/1989;1.9276138544082642;1.9460421011822842;1.9257709641709106;1.9276138544082642;487333
02/02/1989;1.9313000440597536;1.9441999517492736;1.9257715356070917;1.9313000440597534;1387971
03/02/1989;1.9257715940475464;1.9349857204482903;1.922085812367303;1.9257715940475464;1131398
06/02/1989;1.898128628730774;1.944199746164512;1.898128628730774;1.898128628730774;958197
07/02/1989;1.8907576799392698;1.9073432074878804;1.881543552601136;1.89075767993927;1230084
08/02/1989;1.894443154335022;1.9165575171882563;1.894443154335022;1.894443154335022;1319930
09/02/1989;1.8852293491363525;1.9073433879602586;1.8815437306323566;1.8852293491363525;832820
10/02/1989;1.894443154335022;1.9091859536372204;1.8760147371572424;1.894443154335022;1472613
13/02/1989;1.85390043258667;1.8852287536244254;1.8391576354277568;1.85390043258667;1280500
14/02/1989;1.8391581773757932;1.8704866715450852;1.8133585205951337;1.8391581773757935;1342741
15/02/1989;1.7930861711502075;1.8354716638263437;1.7709721435799461;1.7930861711502075;1475933
16/02/1989;1.8299438953399658;1.8575866048568668;1.8262581133244071;1.8299438953399658;1165064
17/02/1989;1.820729374885559;1.8483719170210167;1.798615341177193;1.820729374885559;1179109
20/02/1989;1.820729374885559;1.8391577909425065;1.8133581395827216;1.820729374885559;1059420
21/02/1989;1.8502148389816284;1.8539006205950967;1.8391578219410818;1.8502148389816284;726691
22/02/1989;1.8410003185272217;1.9073425704643043;1.8410003185272217;1.8410003185272217;1306370
23/02/1989;1.8410003185272217;1.8410003185272217;1.8410003185272217;1.8410003185272217;0
24/02/1989;1.756230115890503;1.8354722937457282;1.756230115890503;1.756230115890503;1372565
27/02/1989;1.734115481376648;1.743329934416779;1.70831583236384;1.734115481376648;199462
28/02/1989;1.734115481376648;1.734115481376648;1.734115481376648;1.734115481376648;0
01/03/1989;1.734115481376648;1.734115481376648;1.734115481376648;1.734115481376648;0
02/03/1989;1.8299438953399658;1.8391580225789679;1.8078296949464554;1.8299438953399658;1039855
03/03/1989;1.8668009042739868;1.8668009042739868;1.8299440641187168;1.8668009042739868;829220
06/03/1989;1.8723289966583252;1.8723289966583252;1.8502147991533398;1.8723289966583252;901421
07/03/1989;1.8317859172821043;1.898128329023463;1.826257410286972;1.8317859172821045;1255171
08/03/1989;1.8299438953399658;1.84837214981797;1.8299438953399658;1.8299438953399658;844701
09/03/1989;1.8354719877243042;1.8539004019181333;1.8299434798561467;1.8354719877243042;718951
10/03/1989;1.8225717544555664;1.8539000693552192;1.8207288641967985;1.8225717544555664;857590
13/03/1989;1.8446865081787112;1.8446865081787112;1.81704363757043;1.844686508178711;337802
14/03/1989;1.8668009042739868;1.8797008147183276;1.8483723202963893;1.8668009042739868;1010721
15/03/1989;1.8889145851135254;1.8889145851135254;1.8631147691104168;1.8889145851135254;1600583
16/03/1989;1.8852293491363525;1.8944434773463252;1.8815437306323566;1.8852293491363525;888999
17/03/1989;1.8852293491363525;1.8852293491363525;1.8852293491363525;1.8852293491363525;0
20/03/1989;1.8631149530410767;1.8815435353482612;1.841000916512371;1.8631149530410767;646694
21/03/1989;1.8889145851135254;1.8981288753574634;1.8483719702800887;1.8889145851135254;1060633
22/03/1989;1.881543755531311;1.9073434132006266;1.879700864304943;1.881543755531311;733779
23/03/1989;1.894443154335022;1.89812893611054;1.8704863922938388;1.894443154335022;665290
24/03/1989;1.894443154335022;1.894443154335022;1.894443154335022;1.894443154335022;0
27/03/1989;1.894443154335022;1.894443154335022;1.894443154335022;1.894443154335022;0
28/03/1989;1.9073429107666016;1.9165573644711607;1.8907573857981657;1.9073429107666016;774533
29/03/1989;1.918399930000305;1.9257714929738972;1.903657295752892;1.9183999300003052;1348318
30/03/1989;1.8889145851135254;1.9220858005317982;1.8815433495982927;1.8889145851135254;857627
31/03/1989;1.8852293491363525;1.9276148633821133;1.8852293491363525;1.8852293491363525;1008333
03/04/1989;1.8999716043472292;1.9091857299063792;1.8981287136754321;1.899971604347229;588407
